Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Julio Soler,Bournemouth,14,82.4,0,0.0,0
Oliver Sonne,Burnley,32,64.0,0,0.1,1
Borna Sosa,Crystal Palace,2,40.0,0,0.0,0
Tomáš Souček,West Ham,138,67.0,0,0.1,1
Djed Spence,Tottenham,418,78.7,0,0.4,3
Anton Stach,Leeds United,401,76.2,2,1.2,23
John Stones,Manchester City,240,91.3,0,0.1,1
Jørgen Strand Larsen,Wolves,134,64.4,0,0.4,5
Pascal Struijk,Leeds United,707,90.6,0,0.1,5
Crysencio Summerville,West Ham,186,84.2,1,0.5,5
Dominik Szoboszlai,Liverpool,945,83.3,1,2.2,30
Chemsdine Talbi,Sunderland,197,75.2,1,0.5,7
Ao Tanaka,Leeds United,268,83.8,0,0.5,6
James Tarkowski,Everton,559,80.5,1,0.9,9
Marcus Tavernier,Bournemouth,442,77.8,2,1.8,23
Loum Tchaouna,Burnley,114,68.7,0,0.3,2
Jackson Tchatchoua,Wolves,241,68.9,0,0.8,9
Mathys Tel,Tottenham,42,64.6,0,0.3,1
Kenny Tete,Fulham,546,80.6,0,0.6,6
Thiago,Brentford,166,70.0,0,0.3,7
Malick Thiaw,Newcastle Utd,557,88.6,0,0.4,1
Youri Tielemans,Aston Villa,368,82.0,2,1.1,12
Jurriën Timber,Arsenal,622,84.6,2,0.8,13
Jean-Clair Todibo,West Ham,374,87.0,1,0.3,4
Sandro Tonali,Newcastle Utd,567,81.7,1,1.3,16
Pau Torres,Aston Villa,562,87.7,0,0.2,0
James Trafford,Manchester City,88,74.6,0,0.0,0
Adama Traoré,Fulham,58,69.9,0,0.5,3
Bertrand Traoré,Sunderland,137,74.1,0,0.2,8
Mike Trésor,Burnley,6,75.0,0,0.0,0
Kieran Trippier,Newcastle Utd,463,79.4,0,0.9,14
Leandro Trossard,Arsenal,230,69.9,3,1.4,14
Adrien Truffert,Bournemouth,686,78.9,1,1.0,15
Axel Tuanzebe,Burnley,317,85.9,0,0.1,0
Stefanos Tzimas,Brighton,17,68.0,1,0.1,6
Christantus Uche,Crystal Palace,14,60.9,0,0.0,0
Destiny Udogie,Tottenham,312,84.3,1,0.3,7
